# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
108.3000,108.8600,107.3000,21384289,107.6400
108.4900,108.9850,106.8200,29982806,107.6600
108.5600,109.7500,108.0400,16788314,109.5600
109.2400,109.5800,108.1000,18474884,108.2100
109.4200,109.6900,108.3800,18183724,109.0000
109.7100,110.1600,109.6000,13677211,109.6700
109.3300,109.7500,108.7599,15487502,109.4900
108.5600,109.1000,108.1700,16080214,108.8800
108.1200,108.4200,107.5590,20265947,108.1300
107.8000,108.0500,106.8200,18659599,108.0400
105.4000,108.0900,104.8400,26104258,107.5700
106.0300,106.4460,105.4200,23628699,106.2800
106.4900,106.7200,105.3800,27655152,106.0800
107.1900,107.5300,104.7600,34668327,105.3700
110.1800,110.1800,106.1400,37005292,107.6800
110.7400,111.0000,109.5000,31372110,109.6200
107.9550,111.1500,107.6000,30798058,110.8300
108.5700,108.8200,107.2600,26316619,107.6600
106.3000,108.1400,106.1300,29706955,107.9700
108.0800,108.2000,106.0800,56038827,106.2700
104.9300,105.3100,103.8900,40171646,104.4000
105.9400,106.0500,104.7150,29493927,105.1200
104.6100,106.5000,104.3200,25901726,105.9500
105.4000,105.8200,104.5150,21786912,104.9100
104.3700,105.6000,104.0900,24653500,105.4300
102.7700,104.4100,102.7300,24335929,104.1900
101.1500,102.3400,101.1000,19644648,101.9800
102.0000,102.5100,101.8600,19293140,102.1200
101.6452,102.2500,101.2510,18211980,101.8500
99.8850,101.4300,99.6700,19234627,101.1600
99.5000,99.9200,99.0299,18977402,99.7600
100.4800,100.6300,98.9400,14670275,99.0500
98.1000,100.0600,98.0000,19564521,100.0100
98.9300,99.9100,98.3300,28053214,98.6100
97.3800,99.1100,97.2600,26650671,98.6300
99.5800,100.0200,97.4000,31298386,97.5400
98.8200,100.0800,98.7500,26897244,99.0800
100.0000,100.1100,97.3000,35433333,98.3900
100.4100,100.7700,99.6250,38923105,100.4100
102.0750,102.4600,100.8800,23198188,101.1400
101.3700,102.5200,101.1200,26180792,101.8700
99.6500,101.0000,99.5000,28653087,100.8600
100.0100,101.1100,99.4200,23586037,100.8600
101.5100,101.5300,100.0700,65738585,100.1300
101.6500,102.0300,101.0000,25691811,101.4200
101.7200,102.0100,100.5600,29492875,100.8500
101.1000,101.4493,100.7500,18325228,101.3100
101.3700,101.5900,100.6700,23490894,101.0500
101.0924,101.9500,100.5400,22165128,101.6300
102.6500,102.6900,100.3800,28232197,100.8800
102.4800,102.6000,101.9000,21122917,102.4900
102.0000,102.3300,101.5300,23514402,102.1900
101.2600,101.8600,100.8510,27281623,101.6700
99.2798,100.8600,99.1700,28655624,100.7900
99.2900,99.9900,98.6100,34140891,98.8400
98.3100,99.2500,97.9100,22158528,98.9500
97.8400,98.8800,97.2300,28670981,98.0100
98.3000,98.9800,97.8600,18363918,98.3600
98.7250,98.9400,96.8100,26649287,98.3100
96.7100,98.7300,96.3200,21251222,98.6600
97.6800,98.1700,97.2000,15441189,97.5000
97.0000,98.0100,96.8000,19422467,97.6000
96.0100,96.9300,96.0100,17865840,96.3600
96.7600,97.5401,95.8300,17246716,96.1800
97.3600,97.4000,96.6150,17384742,97.1500
97.2400,97.8500,96.3400,24594010,97.3200
97.9200,98.6900,97.3100,19454124,98.0300
97.8000,97.8700,97.0400,16778316,97.7000
97.4600,97.9500,97.0500,22388119,97.9100
96.0100,96.9700,95.0500,27327410,96.9400
95.8456,96.1600,95.0631,23484589,95.8100
95.1700,96.7100,95.1000,24242019,96.2200
93.3200,95.3700,92.9200,22531325,95.1600
92.9600,94.9250,92.4500,31142497,94.0700
94.9900,95.1700,93.1900,27471002,93.5100
93.2100,95.2900,92.7900,31408927,95.0000
96.3300,96.3964,93.1500,41523605,93.5200
97.6000,97.9000,93.9100,48272780,95.8200
